"female","cg","sc","hsg","mw","so","we","ne","exp1","exp2","exp3","wage"
0,0,0,1,0,0,0,1,33,10.89,35.937,11.6590909090909
0,1,0,0,0,0,0,1,27,7.29,19.683,12.825
0,0,1,0,0,0,0,1,13,1.69,2.197,5.77702702702703
0,1,0,0,0,0,0,1,2,0.04,0.008,12.46875
1,1,0,0,0,0,0,1,15,2.25,3.375,18.525
0,0,1,0,0,0,0,1,6.5,0.4225,0.274625,11.4
1,0,1,0,0,0,0,1,6,0.36,0.216,7.7751987281399
0,0,0,1,0,0,0,1,25,6.25,15.625,16.03125
0,0,0,1,0,0,0,1,14,1.96,2.744,9.75
0,0,1,0,0,0,0,1,26,6.76,17.576,5.45571428571428
0,0,0,1,0,0,0,1,25,6.25,15.625,12.46875
1,1,0,0,0,0,0,1,4,0.16,0.064,15.75
0,0,0,1,0,0,0,1,7,0.49,0.343,7.125
1,0,1,0,0,0,0,1,4.5,0.2025,0.091125,14.25
1,0,0,1,0,0,0,1,15,2.25,3.375,19.59375
0,0,0,1,0,0,0,1,7,0.49,0.343,14.25
1,1,0,0,0,0,0,1,3,0.09,0.027,8.87199519230769
0,0,0,1,0,0,0,1,24,5.76,13.824,17.1
1,0,1,0,0,0,0,1,15.5,2.4025,3.723875,17.7333333333333
0,0,0,1,0,0,0,1,12,1.44,1.728,10.6875
0,0,1,0,0,0,0,1,7.5,0.5625,0.421875,15.0721153846154
1,1,0,0,0,0,0,1,7,0.49,0.343,10.6875
0,0,0,1,0,0,0,1,12,1.44,1.728,7.28333333333333
1,0,1,0,0,0,0,1,6,0.36,0.216,9.2625
1,0,1,0,0,0,0,1,12.5,1.5625,1.953125,8.55
0,0,0,1,0,0,0,1,12,1.44,1.728,10.6875
1,0,1,0,0,0,0,1,12.5,1.5625,1.953125,11.685
1,0,0,1,0,0,0,1,6,0.36,0.216,6.89415
1,0,0,1,0,0,0,1,26,6.76,17.576,16.4270833333333
0,1,0,0,0,0,0,1,25,6.25,15.625,30.28125
0,0,0,1,0,0,0,1,29,8.41,24.389,11.4
0,1,0,0,0,0,0,1,9,0.81,0.729,22.1666666666667
1,0,0,1,0,0,0,1,8,0.64,0.512,8.55
0,0,1,0,0,0,0,1,14,1.96,2.744,9.796875
1,1,0,0,0,0,0,1,4,0.16,0.064,13.18125
0,0,0,1,0,0,0,1,35,12.25,42.875,10.6875
0,0,1,0,0,0,0,1,27.5,7.5625,20.796875,25.65
1,1,0,0,0,0,0,1,9,0.81,0.729,17.8125
0,1,0,0,0,0,0,1,15,2.25,3.375,17.45625
0,1,0,0,0,0,0,1,5,0.25,0.125,11.2602941176471
0,0,1,0,0,0,0,1,27.5,7.5625,20.796875,19.59375
1,1,0,0,0,0,0,1,11,1.21,1.331,10.9928571428571
1,1,0,0,0,0,0,1,7,0.49,0.343,8.18617021276595
1,1,0,0,0,0,0,1,2,0.04,0.008,17.7333333333333
1,0,1,0,0,0,0,1,22,4.84,10.648,19.59375
0,0,1,0,0,0,0,1,20.5,4.2025,8.615125,13.9333333333333
0,0,1,0,0,0,0,1,6,0.36,0.216,4.85018181818182
1,1,0,0,0,0,0,1,3,0.09,0.027,7.125
0,0,1,0,0,0,0,1,31,9.61,29.791,14.25
0,0,1,0,0,0,0,1,27,7.29,19.683,10.6875
1,0,1,0,0,0,0,1,6.5,0.4225,0.274625,2.4469696969697
1,0,1,0,0,0,0,1,25,6.25,15.625,9.5475
0,1,0,0,0,0,0,1,12,1.44,1.728,16.2857142857143
1,1,0,0,0,0,0,1,6,0.36,0.216,14.9625
0,1,0,0,0,0,0,1,6,0.36,0.216,9.975
1,1,0,0,0,0,0,1,8,0.64,0.512,8.90625
0,1,0,0,0,0,0,1,3,0.09,0.027,16.03125
0,1,0,0,0,0,0,1,4,0.16,0.064,4.9875
1,1,0,0,0,0,0,1,6,0.36,0.216,11.04375
0,0,0,1,0,0,0,1,20,4,8,15.675
1,0,0,1,0,0,0,1,11,1.21,1.331,5.14583333333333
0,0,0,1,0,0,0,1,9,0.81,0.729,11.4
0,0,1,0,0,0,0,1,5,0.25,0.125,12.54
1,0,0,1,0,0,0,1,6,0.36,0.216,7.125
1,0,0,1,0,0,0,1,25,6.25,15.625,8.90625
0,1,0,0,0,0,0,1,19,3.61,6.859,34.2
1,0,1,0,0,0,0,1,23.5,5.5225,12.977875,12.46875
0,0,1,0,0,0,0,1,22.5,5.0625,11.390625,12.46875
0,0,1,0,0,0,0,1,10,1,1,18.525
0,0,0,1,0,0,0,1,14,1.96,2.744,14.25
0,0,0,1,0,0,0,1,31,9.61,29.791,17.45625
1,0,0,1,0,0,0,1,11,1.21,1.331,9.975
0,0,0,1,0,0,0,1,11,1.21,1.331,14.25
0,0,1,0,0,0,0,1,27.5,7.5625,20.796875,16.4666666666667
0,0,1,0,0,0,0,1,25.5,6.5025,16.581375,7.125
0,1,0,0,0,0,0,1,5,0.25,0.125,7.8375
0,1,0,0,0,0,0,1,5,0.25,0.125,21.339375
0,1,0,0,0,0,0,1,27,7.29,19.683,31.635
1,1,0,0,0,0,0,1,6,0.36,0.216,9.77142857142857
1,1,0,0,0,0,0,1,6,0.36,0.216,17.784
1,1,0,0,0,0,0,1,2,0.04,0.008,11.863125
1,1,0,0,0,0,0,1,17,2.89,4.913,17.1
0,1,0,0,0,0,0,1,18,3.24,5.832,12.1125
1,0,0,1,0,0,0,1,8,0.64,0.512,13.5375
1,1,0,0,0,0,0,1,21,4.41,9.261,31.35
1,1,0,0,0,0,0,1,22,4.84,10.648,37.05
0,0,1,0,0,0,0,1,6.5,0.4225,0.274625,11.4
0,0,1,0,0,0,0,1,5.5,0.3025,0.166375,19
0,0,0,1,0,0,0,1,12,1.44,1.728,9.975
1,0,0,1,0,0,0,1,16,2.56,4.096,15.31875
1,0,1,0,0,0,0,1,24.5,6.0025,14.706125,17.1
0,0,0,1,0,0,0,1,20,4,8,8.90625
1,0,1,0,0,0,0,1,30,9,27,12.6214285714286
0,0,0,1,0,0,0,1,17,2.89,4.913,14.1424528301887
1,1,0,0,0,0,0,1,21,4.41,9.261,21.58875
0,0,0,1,0,0,0,1,20,4,8,14.25
0,1,0,0,0,0,0,1,27,7.29,19.683,7.8375
0,0,0,1,0,0,0,1,7,0.49,0.343,12.6666666666667
0,0,0,1,0,0,0,1,14,1.96,2.744,6.8875
1,1,0,0,0,0,0,1,17,2.89,4.913,15.140625
0,0,1,0,0,0,0,1,8,0.64,0.512,10.1785714285714
0,0,0,1,0,0,0,1,10,1,1,5.49642857142857
0,0,1,0,0,0,0,1,24.5,6.0025,14.706125,23.5125
1,1,0,0,0,0,0,1,28,7.84,21.952,49.5102
0,0,1,0,0,0,0,1,7.5,0.5625,0.421875,19.665
0,0,1,0,0,0,0,1,11.5,1.3225,1.520875,11.04375
1,1,0,0,0,0,0,1,2,0.04,0.008,11.04375
0,0,0,1,0,0,0,1,10,1,1,12.825
0,1,0,0,0,0,0,1,2,0.04,0.008,17.8125
1,1,0,0,0,0,0,1,17,2.89,4.913,9.61875
1,1,0,0,0,0,0,1,22,4.84,10.648,37.05
0,1,0,0,0,0,0,1,3,0.09,0.027,20.3571428571429
0,0,0,1,0,0,0,1,8,0.64,0.512,8.90625
0,0,1,0,0,0,0,1,10.5,1.1025,1.157625,12.46875
0,0,1,0,0,0,0,1,4,0.16,0.064,11.4
1,1,0,0,0,0,0,1,4,0.16,0.064,12.825
0,0,0,1,0,0,0,1,7,0.49,0.343,7.125
0,0,0,1,0,0,0,1,8,0.64,0.512,5.34375
0,1,0,0,0,0,0,1,2,0.04,0.008,8.19375
1,1,0,0,0,0,0,1,4,0.16,0.064,14.25
0,0,0,1,0,0,0,1,14,1.96,2.744,15.375
1,1,0,0,0,0,0,1,7,0.49,0.343,15.8333333333333
1,0,1,0,0,0,0,1,6.5,0.4225,0.274625,4.9875
1,0,1,0,0,0,0,1,23,5.29,12.167,7.125
0,1,0,0,0,0,0,1,5,0.25,0.125,18.88125
0,0,0,1,0,0,0,1,33,10.89,35.937,10.33125
0,1,0,0,0,0,0,1,23,5.29,12.167,12.825
0,1,0,0,0,0,0,1,7,0.49,0.343,17.1
0,1,0,0,0,0,0,1,2,0.04,0.008,14.60625
0,0,0,1,0,0,0,1,14,1.96,2.744,8.55
0,0,0,1,0,0,0,1,22,4.84,10.648,14.9625
0,0,0,1,0,0,0,1,6,0.36,0.216,6.4125
0,0,0,1,0,0,0,1,23,5.29,12.167,10.6875
0,0,1,0,0,0,0,1,28.5,8.1225,23.149125,19.59375
1,1,0,0,0,0,0,1,11,1.21,1.331,16.03125
0,0,0,1,0,0,0,1,9,0.81,0.729,8.90625
0,0,1,0,0,0,0,1,13.5,1.8225,2.460375,17.8125
0,0,0,1,0,0,0,1,14,1.96,2.744,14.60625
0,0,1,0,0,0,0,1,19,3.61,6.859,17.4166666666667
1,1,0,0,0,0,0,1,7,0.49,0.343,25.3333333333333
0,1,0,0,0,0,0,1,2,0.04,0.008,12.825
0,0,0,1,0,0,0,1,9,0.81,0.729,8.55
1,1,0,0,0,0,0,1,26,6.76,17.576,18.525
0,0,0,1,0,0,0,1,24,5.76,13.824,13.5375
1,0,1,0,0,0,0,1,4,0.16,0.064,7.32857142857143
0,0,1,0,0,0,0,1,10.5,1.1025,1.157625,9.2625
0,0,0,1,0,0,0,1,21,4.41,9.261,10.922625
1,0,0,1,0,0,0,1,26,6.76,17.576,7.125
0,0,0,1,0,0,0,1,29,8.41,24.389,11.75625
1,0,0,1,0,0,0,1,11,1.21,1.331,8.95714285714286
1,1,0,0,0,0,0,1,3,0.09,0.027,6.4125
1,0,0,1,0,0,0,1,29,8.41,24.389,8.90625
1,0,1,0,0,0,0,1,10.5,1.1025,1.157625,8.90625
1,0,1,0,0,0,0,1,6.5,0.4225,0.274625,12.1772727272727
0,0,1,0,0,0,0,1,6.5,0.4225,0.274625,18.88125
0,1,0,0,0,0,0,1,21,4.41,9.261,21.375
0,0,0,1,0,0,0,1,15,2.25,3.375,14.25
0,0,1,0,0,0,0,1,33,10.89,35.937,19.59375
1,1,0,0,0,0,0,1,22,4.84,10.648,16.9416666666667
0,0,0,1,0,0,0,1,16,2.56,4.096,10.6875
1,1,0,0,0,0,0,1,9,0.81,0.729,9.975
1,1,0,0,0,0,0,1,2,0.04,0.008,7.94711538461538
0,0,1,0,0,0,0,1,16,2.56,4.096,9.75
0,1,0,0,0,0,0,1,6,0.36,0.216,23.0192307692308
1,0,0,1,0,0,0,1,28,7.84,21.952,7.125
0,1,0,0,0,0,0,1,8,0.64,0.512,24.9375
0,1,0,0,0,0,0,1,23,5.29,12.167,26.71875
1,0,1,0,0,0,0,1,27,7.29,19.683,16.03125
1,0,1,0,0,0,0,1,17,2.89,4.913,16.2857142857143
0,0,0,1,0,0,0,1,27,7.29,19.683,11.2396875
1,1,0,0,0,0,0,1,22,4.84,10.648,23.15625
1,0,0,1,0,0,0,1,9,0.81,0.729,9.61875
0,0,1,0,0,0,0,1,5.5,0.3025,0.166375,7.125
1,0,0,1,0,0,0,1,24,5.76,13.824,19.38
1,1,0,0,0,0,0,1,17,2.89,4.913,46.3125
0,0,1,0,0,0,0,1,7.5,0.5625,0.421875,14.25
0,1,0,0,0,0,0,1,10,1,1,21.375
1,1,0,0,0,0,0,1,6,0.36,0.216,15.6071428571429
0,0,0,1,0,0,0,1,11,1.21,1.331,7.417125
0,0,1,0,0,0,0,1,4.5,0.2025,0.091125,11.115
1,0,0,1,0,0,0,1,8,0.64,0.512,7.125
1,1,0,0,0,0,0,1,3,0.09,0.027,10.33125
0,1,0,0,0,0,0,1,3,0.09,0.027,9.61875
0,0,1,0,0,0,0,1,16,2.56,4.096,17.5384615384615
1,1,0,0,0,0,0,1,2,0.04,0.008,10.6875
1,0,1,0,0,0,0,1,32.5,10.5625,34.328125,19.2375
0,1,0,0,0,0,0,1,4,0.16,0.064,28.5
0,0,0,1,0,0,0,1,8,0.64,0.512,16.03125
0,0,1,0,0,0,0,1,11,1.21,1.331,22.44375
0,1,0,0,0,0,0,1,14,1.96,2.744,31.1959459459459
0,0,1,0,0,0,0,1,5,0.25,0.125,5.82621428571428
0,0,0,1,0,0,0,1,24,5.76,13.824,14.25
1,0,1,0,0,0,0,1,5.5,0.3025,0.166375,9.1143
0,0,0,1,0,0,0,1,8,0.64,0.512,8.5215
1,0,1,0,0,0,0,1,4.5,0.2025,0.091125,9.1143
1,0,1,0,0,0,0,1,8.5,0.7225,0.614125,14.60625
0,0,1,0,0,0,0,1,4,0.16,0.064,11.04375
0,1,0,0,0,0,0,1,11,1.21,1.331,28.5
1,1,0,0,0,0,0,1,6,0.36,0.216,8.55
0,0,1,0,0,0,0,1,10.5,1.1025,1.157625,9.07725
1,0,0,1,0,0,0,1,6,0.36,0.216,6.76875
0,0,0,1,0,0,0,1,26,6.76,17.576,14.25
1,0,1,0,0,0,0,1,6,0.36,0.216,23.15625
0,1,0,0,0,0,0,1,25,6.25,15.625,89.0625
0,1,0,0,0,0,0,1,14,1.96,2.744,12.2142857142857
0,0,1,0,0,0,0,1,13.5,1.8225,2.460375,16.03125
1,0,1,0,0,0,0,1,4.5,0.2025,0.091125,9.2625
0,0,0,1,0,0,0,1,7,0.49,0.343,15.675
0,0,1,0,0,0,0,1,6,0.36,0.216,15.31875
1,0,1,0,0,0,0,1,4.5,0.2025,0.091125,14.9625
0,0,0,1,0,0,0,1,25,6.25,15.625,9.975
0,0,0,1,0,0,0,1,24,5.76,13.824,10.6875
0,0,1,0,0,0,0,1,7,0.49,0.343,10.5857142857143
1,0,0,1,0,0,0,1,21,4.41,9.261,20.30625
1,0,0,1,0,0,0,1,21,4.41,9.261,15.31875
1,1,0,0,0,0,0,1,30,9,27,14.025
0,1,0,0,0,0,0,1,26,6.76,17.576,9.975
1,0,0,1,0,0,0,1,15,2.25,3.375,10.6875
0,0,1,0,0,0,0,1,14.5,2.1025,3.048625,28.1686046511628
1,0,0,1,0,0,0,1,15,2.25,3.375,15.31875
0,0,0,1,0,0,0,1,6,0.36,0.216,8.90625
1,0,1,0,0,0,0,1,28,7.84,21.952,18.525
0,0,0,1,0,0,0,1,21,4.41,9.261,11.4
1,1,0,0,0,0,0,1,18,3.24,5.832,26.71875
1,1,0,0,0,0,0,1,24,5.76,13.824,17.25
0,0,1,0,0,0,0,1,7,0.49,0.343,13.68
1,1,0,0,0,0,0,1,2,0.04,0.008,11.875
0,0,0,1,0,0,0,1,6,0.36,0.216,17.8125
0,0,0,1,0,0,0,1,7,0.49,0.343,9.20791153846154
1,1,0,0,0,0,0,1,3,0.09,0.027,4.38461538461539
1,0,0,1,0,0,0,1,30,9,27,14.25
0,0,0,1,0,0,0,1,11,1.21,1.331,12.4961538461538
0,0,0,1,0,0,0,1,19,3.61,6.859,2.64642857142857
0,0,0,1,0,0,0,1,7,0.49,0.343,11.115
0,0,0,1,0,0,0,1,34,11.56,39.304,10.374
0,0,0,1,0,0,0,1,6,0.36,0.216,9.61875
1,1,0,0,0,0,0,1,5,0.25,0.125,9.975
0,0,1,0,0,0,0,1,11.5,1.3225,1.520875,6.76875
1,0,1,0,0,0,0,1,18.5,3.4225,6.331625,0.5625
0,0,0,1,0,0,0,1,13,1.69,2.197,13.1733333333333
0,1,0,0,0,0,0,1,31,9.61,29.791,16.03125
0,0,0,1,0,0,0,1,32,10.24,32.768,15.8333333333333
1,1,0,0,0,0,0,1,4,0.16,0.064,15.2128378378378
0,0,1,0,0,0,0,1,30.5,9.3025,28.372625,12.2794285714286
0,1,0,0,0,0,0,1,9,0.81,0.729,8.90625
1,0,0,1,0,0,0,1,29,8.41,24.389,6.76875
0,0,1,0,0,0,0,1,4.5,0.2025,0.091125,9.2625
0,1,0,0,0,0,0,1,13,1.69,2.197,12.6666666666667
1,0,1,0,0,0,0,1,17,2.89,4.913,8.90625
1,0,1,0,0,0,0,1,22.5,5.0625,11.390625,14.25
0,0,0,1,0,0,0,1,6,0.36,0.216,6.99545454545455
1,0,1,0,0,0,0,1,17,2.89,4.913,15.8333333333333
0,0,0,1,0,0,0,1,22,4.84,10.648,7.8375
1,0,1,0,0,0,0,1,19.5,3.8025,7.414875,16.03125
1,0,1,0,0,0,0,1,18,3.24,5.832,17.8125
1,1,0,0,0,0,0,1,6,0.36,0.216,17.8125
0,0,0,1,0,0,0,1,10,1,1,16.03125
1,0,1,0,0,0,0,1,26.5,7.0225,18.609625,0.1482
1,0,1,0,0,0,0,1,10,1,1,20.5833333333333
1,0,0,1,0,0,0,1,15,2.25,3.375,12.1125
1,1,0,0,0,0,0,1,5,0.25,0.125,7.48125
0,1,0,0,0,0,0,1,14,1.96,2.744,32.6166666666667
1,0,0,1,0,0,0,1,6,0.36,0.216,12.46875
0,0,0,1,0,0,0,1,8,0.64,0.512,14.725
1,1,0,0,0,0,0,1,2,0.04,0.008,10.6875
1,0,1,0,0,0,0,1,11.5,1.3225,1.520875,13.5375
0,0,0,1,0,0,0,1,21,4.41,9.261,14.25
1,0,1,0,0,0,0,1,25,6.25,15.625,12.825
0,0,1,0,0,0,0,1,7,0.49,0.343,12.825
1,0,0,1,0,0,0,1,15,2.25,3.375,13.8428571428571
1,0,0,1,0,0,0,1,10,1,1,9.14818333333334
1,0,1,0,0,0,0,1,17,2.89,4.913,7.48125
0,0,0,1,0,0,0,1,13,1.69,2.197,10.73709
0,0,0,1,0,0,0,1,16,2.56,4.096,6.76875
0,0,1,0,0,0,0,1,4.5,0.2025,0.091125,11.115
1,0,1,0,0,0,0,1,7,0.49,0.343,22.1666666666667
0,0,1,0,0,0,0,1,22.5,5.0625,11.390625,15.5625
1,1,0,0,0,0,0,1,3,0.09,0.027,9.2625
0,0,1,0,0,0,0,1,21.5,4.6225,9.938375,10.1785714285714
1,1,0,0,0,0,0,1,5,0.25,0.125,6.51428571428572
0,1,0,0,0,0,0,1,14,1.96,2.744,14.9625
1,0,1,0,0,0,0,1,11.5,1.3225,1.520875,11.4
0,0,0,1,0,0,0,1,14,1.96,2.744,12.1125
0,0,0,1,0,0,0,1,20,4,8,6.65
1,0,1,0,0,0,0,1,24,5.76,13.824,9.975
0,0,1,0,0,0,0,1,5.5,0.3025,0.166375,8.90625
1,1,0,0,0,0,0,1,28,7.84,21.952,26.3625
1,1,0,0,0,0,0,1,4,0.16,0.064,12.825
0,1,0,0,0,0,0,1,6,0.36,0.216,21.375
0,0,1,0,0,0,0,1,14,1.96,2.744,8.86666666666667
0,1,0,0,0,0,0,1,5,0.25,0.125,24.4466666666667
0,0,0,1,0,0,0,1,18,3.24,5.832,16.03125
1,0,1,0,0,0,0,1,17.5,3.0625,5.359375,24.9375
0,1,0,0,0,0,0,1,4,0.16,0.064,13.5375
1,1,0,0,0,0,0,1,2,0.04,0.008,12.825
0,1,0,0,0,0,0,1,2,0.04,0.008,14.25
0,0,1,0,0,0,0,1,7.5,0.5625,0.421875,4.275
0,1,0,0,0,0,0,1,3,0.09,0.027,9.975
0,0,0,1,0,0,0,1,35,12.25,42.875,12.35
0,0,1,0,0,0,0,1,5.5,0.3025,0.166375,12.7132352941176
1,1,0,0,0,0,0,1,3,0.09,0.027,9.2625
0,0,0,1,0,0,0,1,24,5.76,13.824,13.4017857142857
1,0,1,0,0,0,0,1,20,4,8,13.2321428571429
0,1,0,0,0,0,0,1,10,1,1,12.46875
0,0,0,1,0,0,0,1,12,1.44,1.728,7.125
1,1,0,0,0,0,0,1,10,1,1,10.6875
0,0,1,0,0,0,0,1,11.5,1.3225,1.520875,10.6875
1,1,0,0,0,0,0,1,9,0.81,0.729,10.6875
1,0,0,1,0,0,0,1,6,0.36,0.216,5.8125
0,0,1,0,0,0,0,1,20,4,8,11.5357142857143
0,0,1,0,0,0,0,1,27,7.29,19.683,14.25
0,0,1,0,0,0,0,1,6.5,0.4225,0.274625,12.483
1,1,0,0,0,0,0,1,2,0.04,0.008,12.46875
0,0,1,0,0,0,0,1,9,0.81,0.729,8.90625
1,1,0,0,0,0,0,1,2,0.04,0.008,11.0833333333333
0,1,0,0,0,0,0,1,18,3.24,5.832,16.03125
0,1,0,0,0,0,0,1,11,1.21,1.331,34.9125
1,1,0,0,0,0,0,1,2,0.04,0.008,15.31875
0,1,0,0,0,0,0,1,18,3.24,5.832,33.84375
1,1,0,0,0,0,0,1,4,0.16,0.064,12.4363636363636
0,1,0,0,0,0,0,1,3,0.09,0.027,274.038461538462
0,1,0,0,0,0,0,1,2,0.04,0.008,19.4318181818182
0,1,0,0,0,0,0,1,13,1.69,2.197,22.8
0,1,0,0,0,0,0,1,8,0.64,0.512,23.1166666666667
0,0,1,0,0,0,0,1,26.5,7.0225,18.609625,19.59375
0,0,0,1,0,0,0,1,11,1.21,1.331,7.8375
0,0,0,1,0,0,0,1,7,0.49,0.343,13.89375
1,1,0,0,0,0,0,1,18,3.24,5.832,8.835
1,0,1,0,0,0,0,1,7,0.49,0.343,21.375
0,0,1,0,0,0,0,1,15.5,2.4025,3.723875,17.8125
0,1,0,0,0,0,0,1,11,1.21,1.331,8.19375
1,0,0,1,0,0,0,1,23,5.29,12.167,14.25
1,0,1,0,0,0,0,1,6.5,0.4225,0.274625,11.75625
1,0,1,0,0,0,0,1,18.5,3.4225,6.331625,17.8125
1,0,0,1,0,0,0,1,9,0.81,0.729,6.35769230769231
0,0,1,0,0,0,0,1,25,6.25,15.625,9.69
0,0,0,1,0,0,0,1,25,6.25,15.625,8.14285714285714
0,0,0,1,0,0,0,1,24,5.76,13.824,14.1645
1,0,0,1,0,0,0,1,19,3.61,6.859,10.6875
0,0,0,1,0,0,0,1,28,7.84,21.952,10.9393939393939
0,0,1,0,0,0,0,1,26.5,7.0225,18.609625,16.3875
1,0,1,0,0,0,0,1,21.5,4.6225,9.938375,14.25
1,1,0,0,0,0,0,1,3,0.09,0.027,11.04375
1,1,0,0,0,0,0,1,28,7.84,21.952,14.25
0,1,0,0,0,0,0,1,28,7.84,21.952,24.8546511627907
1,0,0,1,0,0,0,1,11,1.21,1.331,4.75
1,0,1,0,0,0,0,1,5.5,0.3025,0.166375,11.4
0,1,0,0,0,0,0,1,19,3.61,6.859,14.25057
1,1,0,0,0,0,0,1,2,0.04,0.008,32.775
1,1,0,0,0,0,0,1,2,0.04,0.008,14.25
0,1,0,0,0,0,0,1,2,0.04,0.008,23.86875
0,0,0,1,0,0,0,1,18,3.24,5.832,16.03125
1,0,1,0,0,0,0,1,19.5,3.8025,7.414875,7.20195
1,0,1,0,0,0,0,1,4.5,0.2025,0.091125,8.55
0,1,0,0,0,0,0,1,4,0.16,0.064,17.8125
1,0,1,0,0,0,0,1,9,0.81,0.729,10.125
0,0,1,0,0,0,0,1,25.5,6.5025,16.581375,15.675
0,0,1,0,0,0,0,1,14.5,2.1025,3.048625,28.785
1,0,1,0,0,0,0,1,11.5,1.3225,1.520875,12.2142857142857
0,1,0,0,0,0,0,1,16,2.56,4.096,33.8833333333333
0,1,0,0,0,0,0,1,19,3.61,6.859,57
0,1,0,0,0,0,0,1,2,0.04,0.008,10.1333333333333
0,0,0,1,0,0,0,1,32,10.24,32.768,16.03125
0,1,0,0,0,0,0,1,2,0.04,0.008,3.0445125
0,1,0,0,0,0,0,1,8,0.64,0.512,18.4858125
1,1,0,0,0,0,0,1,7,0.49,0.343,27.14874375
0,1,0,0,0,0,0,1,20,4,8,57
0,1,0,0,0,0,0,1,3,0.09,0.027,10.6875
1,1,0,0,0,0,0,1,3,0.09,0.027,14.25
1,1,0,0,0,0,0,1,3,0.09,0.027,12.2142857142857
0,1,0,0,0,0,0,1,2,0.04,0.008,9.61875
1,1,0,0,0,0,0,1,8,0.64,0.512,25.65
0,1,0,0,0,0,0,1,6,0.36,0.216,16.74375
1,0,0,1,0,0,0,1,30,9,27,23.15625
0,1,0,0,0,0,0,1,7,0.49,0.343,23.15625
0,0,0,1,0,0,0,1,21,4.41,9.261,17.8125
0,0,1,0,0,0,0,1,12.5,1.5625,1.953125,10.6875
1,1,0,0,0,0,0,1,5,0.25,0.125,10.1394230769231
0,0,0,1,0,0,0,1,14,1.96,2.744,10.33125
1,1,0,0,0,0,0,1,7,0.49,0.343,12.825
0,1,0,0,0,0,0,1,12,1.44,1.728,9.975
0,1,0,0,0,0,0,1,2,0.04,0.008,21.375
1,1,0,0,0,0,0,1,2,0.04,0.008,23.15625
1,1,0,0,0,0,0,1,4,0.16,0.064,10.6875
0,1,0,0,0,0,0,1,11,1.21,1.331,46.3125
1,1,0,0,0,0,0,1,10,1,1,23.15625
0,1,0,0,0,0,0,1,15,2.25,3.375,20.52
1,1,0,0,0,0,0,1,2,0.04,0.008,14.25
1,1,0,0,0,0,0,1,2,0.04,0.008,22.8
1,1,0,0,0,0,0,1,14,1.96,2.744,11.97
0,1,0,0,0,0,0,1,27,7.29,19.683,21.7708333333333
0,1,0,0,0,0,0,1,3,0.09,0.027,18.81
1,0,1,0,0,0,0,1,20,4,8,19.59375
0,1,0,0,0,0,0,1,5,0.25,0.125,32.953125
0,1,0,0,0,0,0,1,11,1.21,1.331,17.8125
1,0,1,0,0,0,0,1,22,4.84,10.648,10.8519230769231
0,1,0,0,0,0,0,1,26,6.76,17.576,7.421875
0,0,1,0,0,0,0,1,9.5,0.9025,0.857375,5.27784375
0,1,0,0,0,0,0,1,4,0.16,0.064,17.8125
0,0,0,1,0,0,0,1,27,7.29,19.683,5.34375
0,0,1,0,0,0,0,1,13.5,1.8225,2.460375,8.015625
1,0,0,1,0,0,0,1,10,1,1,10.6875
0,1,0,0,0,0,0,1,11,1.21,1.331,25.3333333333333
1,0,0,1,0,0,0,1,6,0.36,0.216,4.56638655462185
1,0,0,1,0,0,0,1,12,1.44,1.728,9.633
0,0,0,1,0,0,0,1,10,1,1,53.4375
1,0,1,0,0,0,0,1,20.5,4.2025,8.615125,21.375
0,0,1,0,0,0,0,1,11.5,1.3225,1.520875,31.2142857142857
